Compare;Size;Assignment
308792;779;465133
310291;780;467384
311852;781;469728
313281;782;471874
314422;783;473588
314625;784;473895
316006;785;475969
317185;786;477740
317656;787;478449
318099;788;479116
318354;789;479501
318767;790;480123
319498;791;481222
320585;792;482855
321052;793;483558
321413;794;484102
322634;795;485936
323679;796;487506
324738;797;489097
325817;798;490718
327046;799;492564
328419;800;494626
329754;801;496631
331225;802;498840
331268;803;498907
332181;804;500279
332738;805;501117
333345;806;502030
334134;807;503216
334393;808;503607
335084;809;504646
335089;810;504656
336454;811;506706
336491;812;506764
338064;813;509126
339259;814;510921
340132;815;512233
341759;816;514676
343364;817;517086
343497;818;517288
343774;819;517706
345201;820;519849
345708;821;520612
345739;822;520661
346454;823;521736
347445;824;523225
347798;825;523757
349393;826;526152
350396;827;527659
350911;828;528434
350992;829;528558
351987;830;530053
353610;831;532490
354167;832;533328
355106;833;534739
355339;834;535091
355430;835;535230
355771;836;535744
356904;837;537446
357425;838;538230
358474;839;539806
359479;840;541316
361102;841;543753
361889;842;544936
363314;843;547076
363875;844;547920
364020;845;548140
364993;846;549602
366112;847;551283
367549;848;553441
368512;849;554888
368917;850;555498
369240;851;555985
369639;852;556586
370120;853;557310
370983;854;558607
371980;855;560105
372127;856;560328
372270;857;560545
373423;858;562277
373568;859;562497
374357;860;563683
375588;861;565532
376759;862;567291
378420;863;569785
379893;864;571997
380518;865;572937
381753;866;574792
382758;867;576302
382765;868;576315
383852;869;577948
383941;870;578084
384780;871;579345
385183;872;579952
385984;873;581156
386453;874;581862
386720;875;582265
387521;876;583469
388036;877;584244
388893;878;585532
390046;879;587264
391369;880;589251
393016;881;591724
394593;882;594092
394736;883;594309
396477;884;596923
396668;885;597212
397395;886;598305
398244;887;599581
398509;888;599981
399910;889;602085
400839;890;603481
401540;891;604535
402199;892;605526
403060;893;606820
403109;894;606896
403258;895;607122
404941;896;609649
405512;897;610508
405589;898;610626
407218;899;613072
408623;900;615182
409800;901;616950
411411;902;619369
411506;903;619514
413263;904;622152
415020;905;624790
416715;906;627335
416848;907;627537
417541;908;628579
418314;909;629741
419527;910;631563
420896;911;633619
422193;912;635567
423882;913;638103
424367;914;638833
425834;915;641036
425935;916;641190
427380;917;643360
428413;918;644912
429258;919;646182
430347;920;647818
431430;921;649445
432021;922;650334
433632;923;652753
434915;924;654680
435346;925;655329
437011;926;657829
437902;927;659168
437907;928;659178
439720;929;661900
440201;930;662624
441306;931;664284
442325;932;665815
442756;933;666464
443007;934;666843
444870;935;669640
445927;936;671228
446068;937;671442
447089;938;672976
447210;939;673160
447953;940;674277
448564;941;675196
449215;942;676175
451000;943;678855
452005;944;680365
453620;945;682790
454163;946;683607
455048;947;684937
456415;948;686990
456818;949;687597
458447;950;690043
459492;951;691613
459521;952;691659
460100;953;692530
460963;954;693827
461150;955;694110
461895;956;695230
463406;957;697499
464459;958;699081
466314;959;701866
466945;960;702815
467720;961;703980
469629;962;706846
470420;963;708035
471939;964;710316
473534;965;712711
474065;966;713510
475488;967;715647
476583;968;717292
478142;969;719633
479629;970;721866
481256;971;724309
481573;972;724787
483094;973;727071
484815;974;729655
486636;975;732389
488385;976;735015
489272;977;736348
490025;978;737480
491008;979;738957
492079;980;740566
492766;981;741599
